Rank|School|City
1|Massachusetts Institute of Technology|Cambridge
2|Harvard University|Cambridge
3|Stanford University|Stanford ...
4|University of California, Berkeley|Berkeley ...
5|University of Michigan|Ann Arbor ...
6|University of Washington|Seattle ...
7|Cornell University|Ithaca
8|Purdue University|West Lafayette
9|University of Wisconsin-Madison|Madison
10|Columbia University in the City of New York|New York City
11|University of California, Los Angeles|Los Angeles ...
12|The University of Texas at Austin|Austin
13|Penn State University|University Park ...
14|University of Illinois at Urbana-Champaign|Champaign ...
15|University of Minnesota|Minneapolis ...
16|New York University|New York City ...
17|University of Pennsylvania|Philadelphia
18|University of Southern California|Los Angeles
19|Carnegie Mellon University|Pittsburgh ...
20|Princeton University|Princeton
21|University of California, Irvine|Irvine ...
22|University of California, San Diego|San Diego ...
23|Yale University|New Haven
24|Arizona State University|Tempe ...
25|University of Chicago|Chicago
26|University of Colorado Boulder|Boulder
27|University of North Carolina at Chapel Hill|Chapel Hill
28|Michigan State University|East Lansing
29|University of California, Davis|Davis ...
30|University of Florida|Gainesville
31|University of Maryland|College Park
32|Duke University|Durham
33|Rutgers, The State University of New Jersey|New Brunswick ...
34|Boston University|Boston ...
35|The University of Arizona|Tucson
36|Johns Hopkins University|Baltimore ...
37|Northwestern University|Evanston ...
38|University of Virginia|Charlottesville ...
39|Georgia Institute of Technology|Atlanta
40|Texas A&M University|College Station
41|The University of Utah|Salt Lake City
42|The Ohio State University|Columbus ...
43|North Carolina State University|Raleigh
44|University of Pittsburgh|Pittsburgh ...
45|Virginia Polytechnic Institute and State University|Blacksburg
46|University of California, Santa Barbara|Santa Barbara ...
47|Washington University in St. Louis|St. Louis
48|Iowa State University of Science and Technology|Ames
49|Tufts University|Medford
50|Georgia State University|Atlanta
51|Indiana University Bloomington|Bloomington
52|Oregon State University|Corvallis ...
53|University of Massachusetts Amherst|Amherst
54|California Institute of Technology|Pasadena
55|University of Iowa|Iowa City ...
56|University of Georgia|Athens
57|Brigham Young University|Provo
58|Florida State University|Tallahassee ...
59|University of Nebraska-Lincoln|Lincoln
60|University of Houston|Houston
61|University of California, Santa Cruz|Santa Cruz ...
62|Colorado State University|Fort Collins
63|University of Oregon|Eugene ...
64|Georgetown University|Washington
65|University of Delaware|Newark
66|George Mason University|Fairfax
67|University of South Florida|Tampa ...
68|University of Central Florida|Orlando ...
69|Vanderbilt University|Nashville
70|Brown University|Providence
71|Washington State University|Pullman
72|George Washington University|Washington ...
73|University at Buffalo, State University of New York|Buffalo ...
74|University of Rochester|Rochester
75|University of Notre Dame|Notre Dame
76|Rice University|Houston
77|Dartmouth College|Hanover
78|University of Connecticut|Storrs ...
79|University of Kansas|Lawrence ...
80|University of California, San Francisco|San Francisco ...
81|Emory University|Atlanta
82|University of Illinois at Chicago|Chicago ...
83|University of California, Riverside|Riverside ...
84|Temple University|Philadelphia ...
85|Rochester Institute of Technology|Rochester
86|University of Kentucky|Lexington
87|San Diego State University|San Diego ...
88|University of Missouri|Columbia
89|University of Cincinnati|Cincinnati
90|The University of Tennessee, Knoxville|Knoxville ...
91|University of Miami|Coral Gables ...
92|University of South Carolina|Columbia ...
93|University of North Texas|Denton ...
94|Virginia Commonwealth University|Richmond
95|The University of Oklahoma|Norman ...
96|University of New Mexico|Albuquerque
97|Drexel University|Philadelphia
98|Rensselaer Polytechnic Institute|Troy ...
99|Northeastern University|Boston ...
100|San José State University|San José
101|Boston College|Chestnut Hill
102|University of Vermont|Burlington
103|Louisiana State University|Baton Rouge
104|Portland State University|Portland
105|Florida International University|Miami
106|The University of Texas at Dallas|Richardson
107|Case Western Reserve University|Cleveland
108|California State University, Fullerton|Fullerton ...
109|California State University, Northridge|Northridge
110|Kent State University|Kent ...
111|San Francisco State University|San Francisco
